name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,,,,nanoreg_mined,,121.68,,3.914780798955058,IMPEDANCE ADHERENT CELLS,
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,,,,nanoreg_mined,,15800000000.0,,,IMPEDANCE ADHERENT CELLS,
NM-202 Synthetic Amorphous Silica PY-AB-03,Silicon Dioxide,,,,,nanoreg_mined,,428.43,,3.368120126126161,ENM_0000068_SECTION,
NM-202 Synthetic Amorphous Silica PY-AB-03,Silicon Dioxide,,,,,nanoreg_mined,,123.87,,3.9070338624056355,IMPEDANCE ADHERENT CELLS,
NM-202 Synthetic Amorphous Silica PY-AB-03,Silicon Dioxide,,,,,nanoreg_mined,,634.9,,3.197294672925648,ENM_0000068_SECTION,
NM-202 Synthetic Amorphous Silica PY-AB-03,Silicon Dioxide,,,,,nanoreg_mined,,170.04,,3.7694489037049146,ENM_0000068_SECTION,
NM-202 Synthetic Amorphous Silica PY-AB-03,Silicon Dioxide,,,,,nanoreg_mined,,1407.0,,,ENM_0000068_SECTION,
NM-203 Synthetic Amorphous Silica PY-A-04,Silicon Dioxide,,,,,nanoreg_mined,,6760.5,,,ENM_0000068_SECTION,
NM-203 Synthetic Amorphous Silica PY-A-04,Silicon Dioxide,,,,,nanoreg_mined,,1.2042e+54,,,IMPEDANCE ADHERENT CELLS,
NM-203 Synthetic Amorphous Silica PY-A-04,Silicon Dioxide,,,,,nanoreg_mined,,123.11627906976744,,3.9096845186142573,IMPEDANCE ADHERENT CELLS,
NM-203 Synthetic Amorphous Silica PY-A-04,Silicon Dioxide,,,,,nanoreg_mined,,4.85891472868217,,5.313460722502697,ENM_0000068_SECTION,
NM-203 Synthetic Amorphous Silica PY-A-04,Silicon Dioxide,,,,,nanoreg_mined,,1.2434108527131783e+42,,,IMPEDANCE ADHERENT CELLS,
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,,,,nanoreg_mined,,6.859500000000001e+56,,,IMPEDANCE ADHERENT CELLS,
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,,,,nanoreg_mined,,473.54999999999995,,3.3246341590521014,IMPEDANCE ADHERENT CELLS,
