substance_name,jrc_id,topcategory,endpointcategory,endpoint,value_numeric,unit,text_value,reference,source_type,provenance_note
NM-110 (ZnO 147 nm),JRCNM01100a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,238.78,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-110 (ZnO 147 nm),JRCNM01100a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,229.03,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-110 (ZnO 147 nm),JRCNM01100a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,238.13,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-111 (ZnO 141 nm),JRCNM01101a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,249.49,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-111 (ZnO 141 nm),JRCNM01101a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,254.53,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-111 (ZnO 141 nm),JRCNM01101a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,259.86,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-111 (ZnO 141 nm),JRCNM01101a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,248.35,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,157.83,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,132.75,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,159.72,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,131.06,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,167.26,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,157.47,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,149.85,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,192.94,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,132.63,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,5190.6,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,209.18,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,131.08,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,191.14,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,240.53,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 120 nm,SiO2@IIT 120_pos_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,207.87,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 120 nm,SiO2@IIT 120_pos_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,238.98,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 120 nm,SiO2@IIT 120_pos_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,514.75,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 120 nm,SiO2@IIT 120_pos_red,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,408.64,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,167.23,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,250.41,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,133.83,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_neg_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,141.96,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,236.59,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,502.5,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,243.73,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,140.08,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,172.59,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Silica 50 nm,SiO2@IIT 50_pos_green,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,121.06,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
Unknown Nanomaterial,,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,196.0,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,310.41,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,310.89,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,222.16,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,306.29,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,312.53,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,225.28,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,298.19,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,302.53,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,251.16,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,287.63,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,295.83,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,233.65,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,289.37,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,278.26,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,320.47,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,292.01,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,292.8,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-100 (TiO2 110 nm),JRCNM01000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,278.91,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,496.22,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,463.69,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,204.41,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,357.12,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,316.21,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,109.22,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,541.74,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,455.89,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,238.85,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,463.77,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,420.63,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,208.86,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,383.25,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,492.82,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,477.94,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,298.73,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,275.03,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,381.38,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,519.4,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,465.49,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,355.69,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,303.38,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,534.42,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,453.24,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,325.35,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,521.84,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,447.34,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-101 (TiO2 6 nm),JRCNM01001a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,326.03,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,208.29,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,171.47,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,108.61,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,178.38,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,169.59,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,74.17,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,235.84,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,193.17,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,58.51,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,202.82,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,195.42,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,73.33,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,263.4,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-103 (TiO2 24.7 nm),JRCNM01003a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,186.96,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,139.89,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,92.56,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,71.08,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,129.62,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,37.4,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,27.16,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
NM-200 (silica 18.3 nm),JRCNM02000a,P-CHEM,PC_GRANULOMETRY_SECTION,HYDRODYNAMIC DIAMETER,18.63,nm,,,nanoreg_mined,Ingested from ENANOMAPPER dump (nanoreg_nrfiles.sql.xz/nanoreg2.sql.xz).
