name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,drs_uri,sample_id,study_name,file_type
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/e521663b-1ad3-5c55-aef8-b3ff280ed2d9,55967744,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/fa0ec2bc-88ad-58b1-8d92-ddf095925dc2,11337759,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/00792a06-788c-5525-b7ba-1bd210240ce7,28835873,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/11c80dcf-0d57-505f-851b-6f7080de5cc1,9994261,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/b2dcbab1-100f-570d-9bff-a12e8c220375,64618497,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/d174e477-b8f0-5984-9b1d-69a56b5a8168,49905665,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/499cf3c7-bb1e-5a7c-808c-043d975b4cfe,9142280,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/813eeaae-f01c-58a1-a85e-6088fd97faf5,4456448,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/2573ed40-df6a-5e30-b6d5-efca98b71fb5,46006275,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/949aa5d7-127a-5c06-adaf-0881a7f71e33,49053704,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/eda86c9e-7f44-5bf9-967a-6db3dbbe0601,11337788,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/7abc90b9-59d2-53e4-9962-066767a204e9,55967749,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/ed833bc7-ab63-5de4-8a9a-0bd6a610ba03,9142314,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/a07a2e9d-72c5-5611-a856-2028006351bc,33685507,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/7ac5e459-831f-5301-ba9a-f31f492fd75a,11337751,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/56d72aa3-feb1-5d6d-85bb-453f21885aac,11337771,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/687a9b1c-38e7-56a2-8a1e-9e44a59b251b,57933831,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/6f085a4e-13cc-5b47-86cf-88d15b35c58f,36601882,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/56cd7f04-3a8f-5b52-93a0-0ae152d0b8db,79462406,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/ed81c41e-33fc-5cdc-ae6f-af62caffeb15,115900534,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/11a808c3-7f33-5c90-b7be-fafc9a37bb6d,46006278,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/007d17a4-09fb-549b-b205-178f36e47364,9994267,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/06c43fdb-1cfa-564e-b6a4-97927f28a9ae,43745286,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/fa2778d5-1404-5ee6-adcb-32431d499c3b,37191681,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/689f9df5-0f18-5c58-9c84-53531fa2d043,102465537,caNanoLab Data,CSV
