name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,cell_line,exposure_time_h,raw_classification
TiO2,Mixture,,,,,literature_mined,,,,Gammarus fossarum,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Hoplias malabaricus,,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Daphnia magna; Vibrio fischeri,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Escherichia coli,,in vitro
C60 fullerenes,Mixture,,,,,literature_mined,,,,Homosapien,,in vitro
MWCNT,Mixture,,,,,literature_mined,,,,Chlorella vulgaris,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
TiO2 (Anatase),Mixture,,,,,literature_mined,,,,Oncorhynchus mykiss,,in vitro
MWCNT,Mixture,,,,,literature_mined,,,,Mus musculus,,in vitro
Ag,Mixture,,,,,literature_mined,,,,"Staphylococcus aureus, Escherichia coli",,in vitro
MWCNT,Mixture,,,,,literature_mined,,,,Chironomus plumosus,,in vivo
MWCNT,Mixture,,,,,literature_mined,,,,Chironomus plumosus,,in vivo
MWCNT,Mixture,,,,,literature_mined,,,,Alfalfa rhizosphere,,in vivo
Ag,Mixture,,,,,literature_mined,,,,Escherichia coli,,in vitro
Fe3O4,Mixture,,,,,literature_mined,,,,Anguilla anguilla,,in vitro
ZnO,Mixture,,,,,literature_mined,,,,Escherichia coli,,in vitro
SWCNT,Mixture,,,,,literature_mined,,,,Oryzias latipes,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Cyprinus carpio,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Cyprinus carpio,,in vivo
MWCNT,Mixture,,,,,literature_mined,,,,Carassius auratus red var,,in vivo
Al2O3,Mixture,,,,,literature_mined,,,,Vibrio fischeri; Rhinella arenarum,,in vitro
TiO2,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Anabaena sp,,in vitro
C60 fullerenes,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
Au,Mixture,,,,,literature_mined,,,,Mytilus edulis,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Scapharca subcrenata,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
ZnO,Mixture,,,,,literature_mined,,,,Aeromonas hydrophila; Escherichia coli,,in vitro
CeO2,Mixture,,,,,literature_mined,,,,Porcellionides pruinosus,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Mus musculus,,in vitro
TiO2,Mixture,,,,,literature_mined,,,,Corbicula fluminea,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Dicentrarchus labrax,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,"Daphnia magna, Phaeodactylum tricornutum",,in vivo
Ag,Mixture,,,,,literature_mined,,,,Potamopyrgus antipodarum,,in vivo
Al2O3,Mixture,,,,,literature_mined,,,,Ceriodaphnia dubia,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Ceriodaphnia dubia,,in vivo
MWCNT,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
ZnO,Mixture,,,,,literature_mined,,,,"Homosapien, mus musculus",,in vitro
MWCNT,Mixture,,,,,literature_mined,,,,Vicia faba L.,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Danio rerio,,in vivo
TiO2; CeO2,Mixture,,,,,literature_mined,,,,Oryza sativa,,in vivo
TiO2; CeO2,Mixture,,,,,literature_mined,,,,Chlorella pyrenoidosa,,in vivo
"MWCNTs, SWCNTs",Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
Graphene,Mixture,,,,,literature_mined,,,,Scenedesmus obliquus,,in vivo
MWCNT,Mixture,,,,,literature_mined,,,,Triticum L.,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Escherichia coli,,in vitro
QDs,Mixture,,,,,literature_mined,,,,Chlamydomonas reinhardtii,,in vivo
MWCNT,Mixture,,,,,literature_mined,,,,Agrobacterium,,in vitro
MWCNT,Mixture,,,,,literature_mined,,,,Chironomus plumosus,,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,"Daphnia magna, medaka embryos",,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Danio rerio,,in vivo
MWCNT,Mixture,,,,,literature_mined,,,,Danio rerio,,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Chlamydomonas reinhardtii ,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Chlamydomonas reinhardtii,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Tetrahymena thermophile,,in vitro
ZnO,Mixture,,,,,literature_mined,,,,Scenedesmus obliquus,,in vivo
ZnO,Mixture,,,,,literature_mined,,,,Scenedesmus obliquus; Danio rerio; Daphnia magna,,in vivo
ZnO,Mixture,,,,,literature_mined,,,,Tigriopus japonicus,,in vivo
"MWCNTs, SWCNTs",Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
SiO2,Mixture,,,,,literature_mined,,,,Homosapien,,in vitro
ZnO,Mixture,,,,,literature_mined,,,,Nitrosomonas europaea,,in vitro
TiO2,Mixture,,,,,literature_mined,,,,Nitrosomonas europaea,,in vitro
ZnO; Cu; Pb,Mixture,,,,,literature_mined,,,,Soil bacterial communities ,,in vitro
TiO2,Mixture,,,,,literature_mined,,,,Cyprinus carpio,,in vivo
C60 fullerenes,Mixture,,,,,literature_mined,,,,Escherichia coli,,in vitro
QDs (CdSe),Mixture,,,,,literature_mined,,,,Danio rerio,,in vivo
MWCNT,Mixture,,,,,literature_mined,,,,Eisenia fetida,,in vivo
Ag,Mixture,,,,,literature_mined,,,,Daphnia magna,,in vivo
TiO2,Mixture,,,,,literature_mined,,,,Haliotis diversicolor supertexta),,in vivo
Fe3O4,Mixture,,,,,literature_mined,,,,Tetrahymena Pyriformis,,in vitro
