name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h,hydrosize,dosage,e,NOxygen,class
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,60.0,1.54,2.0,nonToxic
