name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
Lesniak2013 NM1 M1,Nanomaterial,73.0,,,,literature_mined,,,,,,
Lesniak2013 NM2 M1,Nanomaterial,120.0,,,,literature_mined,,,,,,
Lesniak2013 NM3 M1,Nanomaterial,76.0,,,,literature_mined,,,,,,
Lesniak2013 NM4 M1,Nanomaterial,158.0,,,,literature_mined,,,,,,
Lesniak2013 NM4 M2,Nanomaterial,,,,,literature_mined,,,-22.2,,,
Lesniak2013 NM1 M2,Nanomaterial,,,,,literature_mined,,,-36.0,,,
Lesniak2013 NM2 M2,Nanomaterial,,,,,literature_mined,,,-42.0,,,
Lesniak2013 NM3 M2,Nanomaterial,,,,,literature_mined,,,-27.0,,,
Lesniak2013 NM4 M2 C1,Nanomaterial,,,,,literature_mined,,,7.11,5.148130399270234,,
Lesniak2013 NM3 M2 C1,Nanomaterial,,,,,literature_mined,,,7.15,5.145693958198919,,
Lesniak2013 NM2 M2 C1,Nanomaterial,,,,,literature_mined,,,7.54,5.122628654130226,,
Lesniak2013 NM1 M2 C1,Nanomaterial,,,,,literature_mined,,,7.45,5.127843727251707,,
Lesniak2013 NM1 M3,Nanomaterial,81.0,,,,literature_mined,,,,,,
Lesniak2013 NM2 M3,Nanomaterial,166.0,,,,literature_mined,,,,,,
Lesniak2013 NM3 M3,Nanomaterial,137.0,,,,literature_mined,,,,,,
Lesniak2013 NM4 M3,Nanomaterial,206.0,,,,literature_mined,,,,,,
Lesniak2013 NM4 M5,Nanomaterial,160.0,,,,literature_mined,,,,,,
Lesniak2013 NM3 M5,Nanomaterial,65.0,,,,literature_mined,,,,,,
Lesniak2013 NM2 M5,Nanomaterial,106.0,,,,literature_mined,,,,,,
Lesniak2013 NM1 M5,Nanomaterial,63.0,,,,literature_mined,,,,,,
Lesniak2013 NM1 M4,Nanomaterial,,,,,literature_mined,,,-20.0,,,
Lesniak2013 NM2 M4,Nanomaterial,,,,,literature_mined,,,-19.0,,,
Lesniak2013 NM3 M4,Nanomaterial,,,,,literature_mined,,,-10.0,,,
Lesniak2013 NM4 M4,Nanomaterial,,,,,literature_mined,,,-11.0,,,
Lesniak2013 NM4 M6,Nanomaterial,,,,,literature_mined,,,-30.0,,,
Lesniak2013 NM3 M6,Nanomaterial,,,,,literature_mined,,,-20.0,,,
Lesniak2013 NM2 M6,Nanomaterial,,,,,literature_mined,,,-36.0,,,
Lesniak2013 NM1 M6,Nanomaterial,,,,,literature_mined,,,-21.0,,,
Lesniak2013 NM1 M4 C1,Nanomaterial,,,,,literature_mined,,,7.21,5.142064735280571,,
Lesniak2013 NM2 M4 C1,Nanomaterial,,,,,literature_mined,,,7.26,5.139063379299906,,
Lesniak2013 NM3 M4 C1,Nanomaterial,,,,,literature_mined,,,7.83,5.106238237942057,,
Lesniak2013 NM4 M4 C1,Nanomaterial,,,,,literature_mined,,,7.88,5.103473782510445,,
Lesniak2013 NM4 M6 C1,Nanomaterial,,,,,literature_mined,,,8.12,5.090443970758825,,
Lesniak2013 NM3 M6 C1,Nanomaterial,,,,,literature_mined,,,8.11,5.090979145788844,,
Lesniak2013 NM2 M6 C1,Nanomaterial,,,,,literature_mined,,,8.12,5.090443970758825,,
Lesniak2013 NM1 M6 C1,Nanomaterial,,,,,literature_mined,,,7.98,5.09799710864927,,
Zhou2008 C1,Nanomaterial,,,,,literature_mined,,,6.5,5.187086643357144,,
Zhou2008 M5 M1,Nanomaterial,,,,,literature_mined,,,-61.2,,,
Zhou2008 M6 M1,Nanomaterial,,,,,literature_mined,,,-51.4,,,
Zhou2008 M7 M1,Nanomaterial,,,,,literature_mined,,,-54.1,,,
Zhou2008 M8 M1,Nanomaterial,,,,,literature_mined,,,-54.6,,,
Zhou2008 M9 M1,Nanomaterial,,,,,literature_mined,,,-52.1,,,
Zhou2008 M10 M1,Nanomaterial,,,,,literature_mined,,,-56.5,,,
Zhou2008 M11 M1,Nanomaterial,,,,,literature_mined,,,-50.4,,,
Zhou2008 M12 M1,Nanomaterial,,,,,literature_mined,,,-53.7,,,
Zhou2008 M22 M1,Nanomaterial,,,,,literature_mined,,,-48.5,,,
Zhou2008 M30 M1,Nanomaterial,,,,,literature_mined,,,-48.8,,,
Zhou2008 M38 M1,Nanomaterial,,,,,literature_mined,,,-48.4,,,
Zhou2008 M46 M1,Nanomaterial,,,,,literature_mined,,,-59.4,,,
Zhou2008 M54 M1,Nanomaterial,,,,,literature_mined,,,-73.3,,,
Zhou2008 M62 M1,Nanomaterial,,,,,literature_mined,,,-72.6,,,
Zhou2008 M70 M1,Nanomaterial,,,,,literature_mined,,,-74.2,,,
Zhou2008 M78 M1,Nanomaterial,,,,,literature_mined,,,-67.2,,,
Zhou2008 M25 M1,Nanomaterial,,,,,literature_mined,,,-44.4,,,
Zhou2008 M33 M1,Nanomaterial,,,,,literature_mined,,,-45.4,,,
Zhou2008 M41 M1,Nanomaterial,,,,,literature_mined,,,-47.6,,,
Zhou2008 M49 M1,Nanomaterial,,,,,literature_mined,,,-66.1,,,
Zhou2008 M57 M1,Nanomaterial,,,,,literature_mined,,,-39.4,,,
Zhou2008 M65 M1,Nanomaterial,,,,,literature_mined,,,-59.3,,,
Zhou2008 M73 M1,Nanomaterial,,,,,literature_mined,,,-57.8,,,
Zhou2008 M81 M1,Nanomaterial,,,,,literature_mined,,,-40.7,,,
Field2011 Batch1 M2,Nanomaterial,,,,,literature_mined,,,52.0,4.2839966563652006,,
Field2011 Batch1 M3,Nanomaterial,,,,,literature_mined,,,95.0,4.022276394711152,,
Field2011 Batch1 M4,Nanomaterial,,,,,literature_mined,,,90.0,4.045757490560675,,
Field2011 Batch1 M5,Nanomaterial,,,,,literature_mined,,,69.0,4.161150909262744,,
Field2011 Batch1 M6,Nanomaterial,,,,,literature_mined,,,70.0,4.154901959985743,,
Field2011 Batch1 M7,Nanomaterial,,,,,literature_mined,,,57.0,4.2441251443275085,,
Field2011 Batch1 M8,Nanomaterial,,,,,literature_mined,,,45.0,4.346787486224656,,
Field2011 Batch1 M9,Nanomaterial,,,,,literature_mined,,,35.0,4.455931955649724,,
Field2011 Batch1 M10,Nanomaterial,,,,,literature_mined,,,0.0,,,
Field2011 Batch2 M2,Nanomaterial,,,,,literature_mined,,,44.0,4.356547323513813,,
Field2011 Batch3 M2,Nanomaterial,,,,,literature_mined,,,66.0,4.180456064458132,,
Field2011 Micron M2,Nanomaterial,,,,,literature_mined,,,64.0,4.1938200260161125,,
Field2011 Micron M1,Nanomaterial,221.0,,,,literature_mined,,,,,,
Field2011 Batch2 M3,Nanomaterial,,,,,literature_mined,,,98.0,4.008773924307505,,
Field2011 Batch2 M4,Nanomaterial,,,,,literature_mined,,,98.0,4.008773924307505,,
Field2011 Batch2 M5,Nanomaterial,,,,,literature_mined,,,98.0,4.008773924307505,,
Field2011 Batch2 M6,Nanomaterial,,,,,literature_mined,,,100.0,4.0,,
Field2011 Batch2 M7,Nanomaterial,,,,,literature_mined,,,92.0,4.036212172654444,,
Field2011 Batch2 M8,Nanomaterial,,,,,literature_mined,,,88.0,4.055517327849832,,
Field2011 Batch3 M3,Nanomaterial,,,,,literature_mined,,,98.0,4.008773924307505,,
Field2011 Batch3 M4,Nanomaterial,,,,,literature_mined,,,91.0,4.040958607678906,,
Field2011 Batch3 M5,Nanomaterial,,,,,literature_mined,,,95.0,4.022276394711152,,
Field2011 Batch3 M6,Nanomaterial,,,,,literature_mined,,,93.0,4.031517051446065,,
Field2011 Batch3 M7,Nanomaterial,,,,,literature_mined,,,93.0,4.031517051446065,,
Field2011 Batch3 M8,Nanomaterial,,,,,literature_mined,,,90.0,4.045757490560675,,
Field2011 Micron M3,Nanomaterial,,,,,literature_mined,,,101.0,3.9956786262173574,,
Field2011 Micron M4,Nanomaterial,,,,,literature_mined,,,95.0,4.022276394711152,,
Field2011 Micron M5,Nanomaterial,,,,,literature_mined,,,98.0,4.008773924307505,,
Field2011 Micron M6,Nanomaterial,,,,,literature_mined,,,92.0,4.036212172654444,,
Field2011 Micron M7,Nanomaterial,,,,,literature_mined,,,74.3,4.129011186239425,,
JRC2011 NM-100 M1,Nanomaterial,267.0,,,,literature_mined,,,,,,
JRC2011 NM-101 M1,Nanomaterial,38.0,,,,literature_mined,,,,,,
JRC2011 NM-102 M1,Nanomaterial,132.0,,,,literature_mined,,,,,,
JRC2011 NM-103 M1,Nanomaterial,186.0,,,,literature_mined,,,,,,
JRC2011 NM-104 M1,Nanomaterial,67.0,,,,literature_mined,,,,,,
JRC2011 NM-105 M1,Nanomaterial,95.0,,,,literature_mined,,,,,,
JRC2011 NM-110 M1,Nanomaterial,150.0,,,,literature_mined,,,,,,
JRC2011 NM-111 M1,Nanomaterial,140.0,,,,literature_mined,,,,,,
JRC2011 NM-200 M1,Nanomaterial,47.0,,,,literature_mined,,,,,,
JRC2011 NM-201 M1,Nanomaterial,62.0,,,,literature_mined,,,,,,
JRC2011 NM-202 M1,Nanomaterial,108.0,,,,literature_mined,,,,,,
JRC2011 NM-203 M1,Nanomaterial,137.0,,,,literature_mined,,,,,,
JRC2011 NM-204 M1,Nanomaterial,75.0,,,,literature_mined,,,,,,
JRC2011 NM-212 M1,Nanomaterial,28.0,,,,literature_mined,,,,,,
JRC2011 NM-300K M1,Nanomaterial,15.0,,,,literature_mined,,,,,,
JRC2011 NM-101 M2,Nanomaterial,6.0,,,,literature_mined,,,,,,
JRC2011 NM-102 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
JRC2011 NM-103 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
JRC2011 NM-104 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
JRC2011 NM-105 M2,Nanomaterial,22.0,,,,literature_mined,,,,,,
JRC2011 NM-110 M2,Nanomaterial,42.0,,,,literature_mined,,,,,,
JRC2011 NM-111 M2,Nanomaterial,34.0,,,,literature_mined,,,,,,
JRC2011 NM-200 M2,Nanomaterial,20.0,,,,literature_mined,,,,,,
JRC2011 NM-211 M2,Nanomaterial,10.0,,,,literature_mined,,,,,,
JRC2011 NM-212 M2,Nanomaterial,33.0,,,,literature_mined,,,,,,
JRC2011 NM-300K M2,Nanomaterial,15.0,,,,literature_mined,,,,,,
JRC2011 NM-100 M3,Nanomaterial,,,,,literature_mined,,,10.0,5.0,,
JRC2011 NM-101 M3,Nanomaterial,,,,,literature_mined,,,320.0,3.494850021680094,,
JRC2011 NM-102 M3,Nanomaterial,,,,,literature_mined,,,90.0,4.045757490560675,,
JRC2011 NM-103 M3,Nanomaterial,,,,,literature_mined,,,60.0,4.221848749616356,,
JRC2011 NM-104 M3,Nanomaterial,,,,,literature_mined,,,60.0,4.221848749616356,,
JRC2011 NM-105 M3,Nanomaterial,,,,,literature_mined,,,61.0,4.214670164989233,,
JRC2011 NM-110 M3,Nanomaterial,,,,,literature_mined,,,13.0,4.886056647693163,,
JRC2011 NM-111 M3,Nanomaterial,,,,,literature_mined,,,16.0,4.795880017344075,,
JRC2011 NM-200 M3,Nanomaterial,,,,,literature_mined,,,230.0,3.6382721639824074,,
JRC2011 NM-201 M3,Nanomaterial,,,,,literature_mined,,,160.0,3.7958800173440754,,
JRC2011 NM-202 M3,Nanomaterial,,,,,literature_mined,,,200.0,3.6989700043360187,,
JRC2011 NM-203 M3,Nanomaterial,,,,,literature_mined,,,226.0,3.6458915608525992,,
JRC2011 NM-204 M3,Nanomaterial,,,,,literature_mined,,,144.0,3.8416375079047502,,
JRC2011 NM-211 M3,Nanomaterial,,,,,literature_mined,,,66.0,4.180456064458132,,
JRC2011 NM-212 M3,Nanomaterial,,,,,literature_mined,,,28.0,4.552841968657781,,
JRC2011 NM-400 M1,Nanomaterial,,,,,literature_mined,,,280.0,3.552841968657781,,
JRC2011 NM-401 M1,Nanomaterial,,,,,literature_mined,,,300.0,3.5228787452803374,,
JRC2011 NM-402 M1,Nanomaterial,,,,,literature_mined,,,250.0,3.6020599913279625,,
JRC2011 NM-402 M2,Nanomaterial,,,,,literature_mined,,,1.5,5.823908740944319,,
JRC2011 NM-400 M2,Nanomaterial,,,,,literature_mined,,,1.5,5.823908740944319,,
JRC2011 NM-400 M3,Nanomaterial,9.5,,,,literature_mined,,,,,,
JRC2011 NM-402 M3,Nanomaterial,11.0,,,,literature_mined,,,,,,
Berg2009 NM1 M1,Nanomaterial,27.0,,,,literature_mined,,,,,,
Shi2012 NM1 M1,Nanomaterial,,,,,literature_mined,,,-14.6,,,
Shi2012 NM2 M1,Nanomaterial,,,,,literature_mined,,,27.6,4.559090917934783,,
Shi2012 NM3 M1,Nanomaterial,,,,,literature_mined,,,19.7,4.7055337738384075,,
Shi2012 NM4 M1,Nanomaterial,,,,,literature_mined,,,-34.9,,,
Shi2012 NM4 M2,Nanomaterial,12.0,,,,literature_mined,,,,,,
Shi2012 NM3 M2,Nanomaterial,15.5,,,,literature_mined,,,,,,
Shi2012 NM2 M2,Nanomaterial,23.4,,,,literature_mined,,,,,,
Shi2012 NM1 M2,Nanomaterial,29.2,,,,literature_mined,,,,,,
SimonDeckers2009 NM1 M1,Nanomaterial,,,,,literature_mined,,,120.0,3.9208187539523753,,
SimonDeckers2009 NM2 M1,Nanomaterial,,,,,literature_mined,,,44.0,4.356547323513813,,
SimonDeckers2009 NM3 M1,Nanomaterial,,,,,literature_mined,,,20.0,4.698970004336019,,
SimonDeckers2009 NM4 M1,Nanomaterial,,,,,literature_mined,,,12.0,4.920818753952375,,
SimonDeckers2009 NM5 M1,Nanomaterial,,,,,literature_mined,,,-33.0,,,
SimonDeckers2009 NM6 M1,Nanomaterial,,,,,literature_mined,,,0.0,,,
